Game, Training Size, Validation Size, Min Error, Mean Error, Max Error
151, 85, 22, 0.003948866667546597, 0.11364817857367081, 0.3180249778625943
152, 69, 18, 0.00112429499160481, 0.06980590125231056, 0.2244689027261626
153, 91, 23, 0.007441984356895512, 0.11323297001313584, 0.2709574174218295
154, 79, 20, 0.01764689225373131, 0.10632704284551882, 0.30518308287693857
155, 88, 22, 0.014409673058055246, 0.12665938676663063, 0.30664481193970217
156, 86, 22, 0.011951441495081566, 0.10621730419733898, 0.2577858074986147
157, 76, 20, 9.01226388689974e-05, 0.07149826185203753, 0.29989669670446173
158, 88, 23, 0.0026730712615738034, 0.10170798891694627, 0.30513526901378535
159, 106, 27, 0.0016833325745740646, 0.1540791306497238, 0.2985380599558797
160, 59, 15, 0.09948302663352118, 0.11436711750069371, 0.12550357328389025
161, 120, 30, 0.0006259092832732044, 0.08648623215889488, 0.24701805947650218
162, 70, 18, 0.007436888620531906, 0.08606002922351637, 0.23051509534386078
163, 98, 25, 0.004510025672412599, 0.11898683747672305, 0.30232764674306856
164, 105, 27, 0.0011474167492181442, 0.08740152125221712, 0.3230641523730872
165, 100, 25, 0.0020191414823371723, 0.06189130625091363, 0.3235159919834849
166, 89, 23, 1.4755632763471804e-05, 0.12373342992462508, 0.27394438953058353
167, 66, 17, 0.00031373541340316835, 0.08373101237936793, 0.319995315130297
168, 96, 25, 0.0015468326227060514, 0.05658798689437106, 0.317844822767958
169, 76, 19, 0.00011382316551120097, 0.09827544120821184, 0.31144318324824
170, 80, 21, 0.00277396519727445, 0.08885875258813665, 0.30013920934231403
171, 66, 17, 0.00024194269330443663, 0.058351531966610526, 0.23140614724259967
172, 83, 21, 0.012093983501421351, 0.11984441869303937, 0.2384276845403479
173, 84, 22, 0.015447089480758666, 0.08394204705808118, 0.2894153652812075
174, 86, 22, 0.004962623806395325, 0.15147344727573797, 0.3456671367134279
175, 102, 26, 0.0006207201573914523, 0.07607618563187896, 0.24346126287891195
176, 128, 32, 0.006688792921294692, 0.08821773566638758, 0.2529074247627009
177, 72, 19, 0.000972474161563347, 0.03444021206392987, 0.24728036196506548
178, 140, 36, 0.011734835106790048, 0.1274873231722832, 0.3338274620560647
179, 108, 28, 0.005957747659994531, 0.09541892140263238, 0.24407380517271549
180, 106, 27, 0.00022726360016371572, 0.09970680112868753, 0.2514282435498575
181, 79, 20, 6.409324348335965e-05, 0.1210904221214314, 0.31792552504597904
182, 72, 18, 0.018807196255729616, 0.07829981743077027, 0.27816834783756433
183, 85, 22, 0.000763021759233623, 0.09533958284411685, 0.3047903241881179
184, 91, 23, 0.0005855633223272316, 0.0736852060987184, 0.3018252024208723
185, 77, 20, 0.006586221746313112, 0.06364560699852254, 0.2579130060414863
186, 78, 20, 0.0005236903788926606, 0.06124612602771164, 0.15040041806275883
187, 81, 21, 0.018469579764277128, 0.056630760901756436, 0.23792208383387875
188, 98, 25, 0.0014738826882644551, 0.08330613808547145, 0.2619658108410416
189, 88, 23, 0.0011431260478500793, 0.11498927735820706, 0.2859011889183058
190, 90, 23, 0.0024473233780915316, 0.09301998049364622, 0.2687162190006144
191, 104, 26, 0.0013810058059166713, 0.10065414961555184, 0.29671985423431385
192, 78, 20, 0.018720049250634342, 0.11392244962940139, 0.360401457855121
193, 110, 28, 0.0034764334413739106, 0.12425140947769382, 0.28806586296461645
194, 75, 19, 0.0018397930227324333, 0.028618969967294756, 0.23748115028528433
195, 119, 30, 0.0005090340021412093, 0.11625785270988204, 0.28799204355079944
196, 76, 19, 0.0030142556124614917, 0.04239557551682314, 0.1459087409702493
197, 94, 24, 0.001167302472484033, 0.10784485954837343, 0.3099562843405383
198, 66, 17, 0.005258959514038319, 0.05235256210889401, 0.1394310966693576
199, 102, 26, 0.005183976145783031, 0.0955303619562445, 0.3461308254702904
200, 76, 20, 0.002470855144057045, 0.056330106621539325, 0.28987801105617955
201, 87, 22, 0.0019692907407855426, 0.11849380624146155, 0.34622628940749284
202, 73, 19, 0.02025538078596756, 0.09606633772548188, 0.2837425161308933
203, 95, 24, 0.01301460748930744, 0.13985278676080812, 0.3020404664807129
204, 76, 20, 0.007954311529176777, 0.09141373446639486, 0.3021522805547946
205, 99, 25, 0.002444248787148995, 0.0705965360293199, 0.2099984973984808
206, 60, 15, 0.00493669319850909, 0.044294555265283704, 0.2535641735252849
207, 76, 19, 0.0010519281515375886, 0.05783127372232891, 0.19733563868410658
208, 89, 23, 0.015723582316713197, 0.10913844256454973, 0.3615272401106821
209, 109, 28, 0.011467404003761665, 0.0834463269970629, 0.2960654995725628
210, 103, 26, 5.979660585896107e-05, 0.06508045475628833, 0.29288191205982744
211, 92, 24, 0.002458015121354934, 0.07090676014153428, 0.23916455006454412
212, 104, 26, 0.002244068272153066, 0.10043976658932634, 0.25740035994763977
213, 84, 22, 0.0044125809765310775, 0.09784247311783743, 0.363489862484666
214, 121, 31, 0.005920931403342419, 0.10564749971224341, 0.3043715298606297
215, 104, 27, 0.0008185902932532352, 0.02838622128063765, 0.2133553198757534
216, 105, 27, 0.004994838411914657, 0.09680121791996545, 0.2848714172712541
217, 98, 25, 0.0074782674755163175, 0.0924331466144942, 0.2741453065764636
218, 68, 17, 0.013751031949712833, 0.09229533045948278, 0.3393891129909317
219, 72, 19, 0.012854129449650309, 0.05457501269879906, 0.2867789101221345
220, 92, 24, 0.013669332780930514, 0.09459327165997193, 0.29342609070987313
221, 69, 18, 0.008993144149797308, 0.0908811295680225, 0.2912526555492918
222, 78, 20, 0.0011543524656412174, 0.040233813620837486, 0.23629339531207422
223, 81, 21, 0.01692545306467648, 0.1267994688261535, 0.3054467883214389
224, 84, 21, 0.00033928122516218434, 0.05039880326557331, 0.27805089066146355
225, 89, 23, 8.654151248851938e-05, 0.09742641112160784, 0.25593165441790283
226, 85, 22, 0.014303414176311431, 0.08783320554881947, 0.20516622620306685
227, 76, 19, 0.0003234207634076683, 0.09622171364545258, 0.25894513180926854
228, 98, 25, 0.010562300143011377, 0.06822455680334422, 0.19651111714525216
229, 119, 30, 0.0016379018417615882, 0.0823149548374215, 0.3094624091881407
230, 90, 23, 0.00021314234316505143, 0.07328466222767652, 0.2728588174910924
231, 81, 21, 0.0027707943396187984, 0.04903204225637646, 0.19524665396513963
232, 80, 21, 0.00047933364027062664, 0.04406349347648374, 0.2708034304196025
233, 76, 19, 0.021081507648173833, 0.0921512182060534, 0.22202197992569783
234, 89, 23, 0.0018840624206086093, 0.07360607835172836, 0.22905265506640787
235, 97, 25, 0.018531234195075477, 0.08477075969591041, 0.2517673211931202
236, 76, 19, 0.0029567293649910287, 0.09795454541303421, 0.30419013436635034
237, 86, 22, 0.006625549097013295, 0.08426319716781222, 0.30009389447501567
238, 109, 28, 0.012146076622730297, 0.0829023108973957, 0.26015296199852156
239, 104, 26, 0.013676575796229419, 0.10205529428046548, 0.23648640974616308
240, 79, 20, 0.003047778395363833, 0.056831691903461344, 0.1962289841760067
241, 96, 24, 0.004946823920114252, 0.10173631618955715, 0.31521017872460977
242, 160, 40, 0.03868100022211893, 0.06979084339615801, 0.41356990918231684
243, 96, 25, 0.01006681133348264, 0.1034734507756486, 0.36229758776955645
244, 81, 21, 0.0004167541946003689, 0.06595741038071054, 0.2575410614635343
245, 66, 17, 0.003518716360356465, 0.06945606510392845, 0.22200953014297425
246, 88, 23, 0.0021999903363473933, 0.06440152877415914, 0.2582298852022806
247, 86, 22, 0.02311629801898274, 0.08629820334304762, 0.222973573298055
248, 83, 21, 0.010001532496823562, 0.09535433737338449, 0.2517762263754962
249, 84, 22, 0.006730519371509591, 0.08734232287519, 0.2716873092457468
250, 125, 32, 0.02219654911578993, 0.10561753951977773, 0.2826497578318108
251, 91, 23, 0.0015821047176072384, 0.04562632570890059, 0.1928963307655674
252, 75, 19, 0.0017238459242946286, 0.045017934334441, 0.24518509645460074
253, 88, 22, 0.025513193315905736, 0.10290471585882789, 0.2739450830671709
254, 80, 21, 0.0012421419721390173, 0.06596684711872358, 0.2932677218444745
255, 96, 25, 0.001203614633282446, 0.07133778154185273, 0.2497720627343395
